Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
464.,I Love You Phillip Morris,(2009),98 min,Biography -  Comedy -  Crime,6.6,"$13,000,000","2,035,566",97675,65
465.,"Extremely Wicked, Shockingly Evil and Vile",(2019),110 min,Biography -  Crime -  Drama,6.7,,,97654,52
466.,Malignant,(I) (2021),111 min,Crime -  Horror -  Mystery,6.2,"$40,000,000",,97318,51
467.,The International,(I) (2009),118 min,Action -  Crime -  Drama,6.5,"$50,000,000","25,450,527",97306,52
468.,Andhadhun,(2018),139 min,Crime -  Mystery -  Thriller,8.2,"$4,500,000","1,373,943",96840,
469.,The Girl Who Played with Fire,(2009),129 min,Action -  Crime -  Drama,7.1,"€4,000,000","9,081,782",96718,66
470.,Grosse Pointe Blank,(1997),107 min,Action -  Comedy -  Crime,7.3,"$15,000,000","28,014,536",96689,76
471.,Wild at Heart,(1990),125 min,Comedy -  Crime -  Drama,7.2,"$9,500,000","14,560,247",96609,52
472.,The Thomas Crown Affair,(1999),113 min,Crime -  Romance -  Thriller,6.8,"$48,000,000","69,304,264",96348,72
473.,Big Eyes,(I) (2014),106 min,Biography -  Crime -  Drama,7.0,"$10,000,000","14,479,776",96014,62
474.,The Highwaymen,(2019),132 min,Biography -  Crime -  Drama,6.9,"$49,000,000",,95723,58
475.,Out of Sight,(1998),123 min,Comedy -  Crime -  Drama,7.0,"$48,000,000","37,562,568",95664,85
476.,Penguins of Madagascar,(2014),92 min,Animation -  Action -  Adventure,6.6,"$132,000,000","83,348,920",95536,53
477.,Following,(1998),69 min,Crime -  Mystery -  Thriller,7.5,"$6,000","48,482",95455,60
478.,Elektra,(2005),97 min,Action -  Adventure -  Crime,4.7,"$43,000,000","24,409,722",95125,34
479.,Risky Business,(1983),99 min,Comedy -  Crime -  Drama,6.8,"$6,200,000","63,500,000",95034,75
480.,Elephant,(2003),81 min,Crime -  Drama -  Thriller,7.1,"$3,000,000","1,227,000",94050,70
481.,War,(2007),103 min,Action -  Crime -  Thriller,6.2,"$25,000,000","22,486,409",93917,36
482.,Ghost Dog: The Way of the Samurai,(1999),116 min,Crime -  Drama,7.5,,"3,308,029",93657,67
483.,Hitman: Agent 47,(2015),96 min,Action -  Crime -  Thriller,5.7,"$35,000,000","22,467,450",93143,28
484.,Project Power,(2020),113 min,Action -  Crime -  Sci-Fi,6.0,"$85,000,000",,92686,51
485.,The X Files: I Want to Believe,(2008),104 min,Crime -  Drama -  Horror,5.9,"$30,000,000","20,982,478",92559,47
486.,Taking Lives,(2004),103 min,Crime -  Mystery -  Thriller,6.2,"$45,000,000","32,682,342",92469,38
487.,The Killing,(1956),84 min,Crime -  Drama -  Film-Noir,7.9,"$320,000",,92401,91
488.,Spenser Confidential,(2020),111 min,Action -  Comedy -  Crime,6.2,,,92359,49
489.,The Night of the Hunter,(1955),92 min,Crime -  Drama -  Film-Noir,8.0,"$795,000","654,000",92117,97
490.,The Guard,(2011),96 min,Comedy -  Crime -  Thriller,7.3,"$6,000,000","5,359,774",92038,78
491.,Richard Jewell,(2019),131 min,Biography -  Crime -  Drama,7.5,"$45,000,000",,92031,68
492.,K.G.F: Chapter 1,(2018),156 min,Action -  Crime -  Drama,8.2,"₹800,000,000",,91219,
493.,The Pelican Brief,(1993),141 min,Crime -  Drama -  Mystery,6.6,"$45,000,000","100,768,056",91189,50
494.,The Outsiders,(1983),91 min,Crime -  Drama,7.0,"$10,000,000","25,600,000",90826,45
495.,We Own the Night,(2007),117 min,Action -  Crime -  Drama,6.8,"$21,000,000","28,563,179",90676,59
496.,Shot Caller,(2017),121 min,Crime -  Drama -  Thriller,7.3,,,90553,59
497.,Double Jeopardy,(1999),105 min,Crime -  Drama -  Mystery,6.5,"$70,000,000","116,741,558",90331,40
498.,Confessions of a Dangerous Mind,(2002),113 min,Biography -  Comedy -  Crime,7.0,"$30,000,000","16,003,576",90022,67
499.,Righteous Kill,(2008),101 min,Crime -  Mystery -  Thriller,6.0,"$60,000,000","40,081,410",89995,36
500.,Unthinkable,(2010),97 min,Crime -  Drama -  Thriller,7.0,"$15,000,000",,89933,
501.,The Bling Ring,(2013),90 min,Biography -  Crime -  Drama,5.6,"$8,000,000","5,841,046",89538,66
502.,Harry Brown,(2009),103 min,Action -  Crime -  Drama,7.2,"$7,300,000","1,818,681",89384,55
503.,The Pink Panther,(2006),93 min,Adventure -  Comedy -  Crime,5.6,"$80,000,000","82,226,474",89328,38
504.,Cop Out,(2010),107 min,Action -  Comedy -  Crime,5.5,"$30,000,000","44,875,481",89218,31
505.,Midnight Run,(1988),126 min,Action -  Comedy -  Crime,7.5,"$35,000,000","38,413,606",89194,78
506.,Arlington Road,(1999),117 min,Action -  Crime -  Drama,7.2,"$31,000,000","24,362,501",88990,65
507.,RoboCop 2,(1990),117 min,Action -  Crime -  Sci-Fi,5.8,"$25,000,000","45,681,173",88949,42
508.,Blitz,(2011),97 min,Action -  Crime -  Thriller,6.1,,,88756,
509.,A Perfect Murder,(1998),107 min,Crime -  Drama -  Thriller,6.6,"$60,000,000","67,638,368",88260,50
510.,Drishyam,(2015),163 min,Crime -  Drama -  Mystery,8.2,"$9,400,000","739,478",88231,
511.,Mechanic: Resurrection,(2016),98 min,Action -  Adventure -  Crime,5.7,"$40,000,000","21,218,403",88158,38
512.,Going in Style,(2017),96 min,Comedy -  Crime,6.6,"$25,000,000","45,018,541",88116,50
513.,West Side Story,(2021),156 min,Crime -  Drama -  Musical,7.2,"$100,000,000",,88045,85
514.,Big Momma's House,(2000),99 min,Action -  Comedy -  Crime,5.2,"$30,000,000","117,559,438",87915,33
515.,The Big Sleep,(1946),114 min,Crime -  Film-Noir -  Mystery,7.9,"$250,000","6,540,000",87831,86
516.,All the Money in the World,(2017),132 min,Biography -  Crime -  Drama,6.8,"$50,000,000","25,113,707",87638,72
517.,Analyze That,(2002),96 min,Comedy -  Crime,5.9,"$60,000,000","32,122,249",87620,37
518.,Dope,(2015),103 min,Adventure -  Comedy -  Crime,7.2,"$7,000,000","17,506,470",87421,72
519.,Chungking Express,(1994),102 min,Comedy -  Crime -  Drama,8.0,,"600,200",87410,78
520.,Death Note,(I) (2017),101 min,Crime -  Drama -  Fantasy,4.5,"$50,000,000",,87291,43
521.,Delicatessen,(1991),99 min,Comedy -  Crime,7.5,"FRF 24,000,000","1,794,187",87254,66
522.,The Raven,(I) (2012),110 min,Crime -  Mystery -  Thriller,6.4,"$26,000,000","16,008,272",86895,44
523.,Fallen,(1998),124 min,Action -  Crime -  Drama,7.0,,"25,188,006",86859,
524.,Frailty,(2001),100 min,Crime -  Drama -  Thriller,7.2,"$11,000,000","13,103,828",86850,64
525.,Taxi,(I) (1998),89 min,Action -  Comedy -  Crime,7.0,"FRF 53,000,000","268,254",86022,
526.,Get Shorty,(1995),105 min,Comedy -  Crime -  Thriller,6.9,"$30,250,000","72,077,000",85998,82
527.,Scoop,(2006),96 min,Comedy -  Crime -  Fantasy,6.6,"$17,300,000","10,525,717",85816,48
528.,Blue Streak,(1999),93 min,Action -  Comedy -  Crime,6.3,"$65,000,000","68,518,533",85760,46
529.,Enola Holmes 2,(2022),129 min,Action -  Adventure -  Crime,6.7,,,85746,64
530.,Assassins,(1995),133 min,Action -  Crime -  Thriller,6.3,"$50,000,000","30,306,268",85617,
531.,Horns,(2013),120 min,Comedy -  Crime -  Drama,6.4,,"164,480",85510,46
532.,Elite Squad 2: The Enemy Within,(2010),115 min,Action -  Crime -  Drama,8.0,,"100,119",84634,71
533.,Breathless,(1960),90 min,Crime -  Drama,7.7,"FRF 400,000","336,705",84482,
534.,Beverly Hills Cop III,(1994),104 min,Action -  Comedy -  Crime,5.5,"$50,000,000","42,610,000",84051,16
535.,Snake Eyes,(1998),98 min,Crime -  Mystery -  Thriller,6.1,"$73,000,000","55,585,389",83984,52
536.,Midnight Express,(1978),121 min,Biography -  Crime -  Drama,7.5,"$2,300,000","35,000,000",83956,59
537.,Fruitvale Station,(2013),85 min,Biography -  Crime -  Drama,7.5,"$900,000","16,097,842",83678,85
538.,A Perfect World,(1993),138 min,Crime -  Drama -  Thriller,7.5,"$30,000,000","31,160,784",83469,71
539.,Speed 2: Cruise Control,(1997),121 min,Action -  Adventure -  Crime,3.9,"$160,000,000","48,608,066",83337,23
540.,Perfect Blue,(1997),81 min,Animation -  Crime -  Drama,8.0,"¥3,000,000","776,665",83151,67
541.,Lady Vengeance,(2005),115 min,Crime -  Drama -  Thriller,7.5,"₩4,200,000,000","211,667",82368,75
542.,The Long Kiss Goodnight,(1996),121 min,Action -  Crime -  Drama,6.8,"$65,000,000","33,328,051",82246,44
543.,The House That Jack Built,(2018),152 min,Crime -  Drama -  Horror,6.8,"€8,700,000","87,008",82221,42
544.,Ambulance,(2022),136 min,Action -  Crime -  Drama,6.1,"$40,000,000","22,781,115",82173,55
545.,Broken City,(2013),109 min,Action -  Crime -  Drama,6.1,"$35,000,000","19,701,164",82006,49
546.,Super,(I) (2010),96 min,Action -  Comedy -  Crime,6.7,"$2,500,000","322,157",81822,50
547.,Freedom Writers,(2007),123 min,Biography -  Crime -  Drama,7.6,"$21,000,000","36,605,602",81813,64
548.,Army of Thieves,(2021),127 min,Action -  Comedy -  Crime,6.4,,,81777,49
549.,Felon,(2008),104 min,Crime -  Thriller,7.4,"$2,900,000","36,756",81445,58
550.,Notes on a Scandal,(2006),92 min,Crime -  Drama -  Romance,7.4,"$15,000,000","17,508,670",81308,73
551.,48 Hrs.,(1982),96 min,Action -  Comedy -  Crime,6.9,"$12,000,000","78,868,508",81207,71
552.,Deliver Us from Evil,(I) (2014),118 min,Action -  Adventure -  Crime,6.2,"$30,000,000","30,577,122",80661,40
553.,Machete Kills,(2013),107 min,Action -  Crime -  Thriller,5.6,"$20,000,000","8,008,161",80549,41
554.,Shoplifters,(2018),121 min,Crime -  Drama -  Thriller,7.9,,"3,313,513",80386,93
555.,Assault on Precinct 13,(2005),109 min,Action -  Crime -  Drama,6.3,"$30,000,000","19,976,073",80312,54
556.,Four Lions,(2010),97 min,Comedy -  Crime -  Drama,7.3,,"304,137",80200,68
557.,A Wednesday,(2008),104 min,Action -  Crime -  Drama,8.1,,,80108,
558.,Pushpa: The Rise - Part 1,(2021),179 min,Action -  Crime -  Drama,7.6,,,80004,
559.,Papillon,(I) (2017),117 min,Adventure -  Biography -  Crime,7.2,,"2,335,896",79641,51
560.,Bottle Rocket,(1996),91 min,Comedy -  Crime -  Drama,6.9,"$7,000,000","560,069",79565,67
561.,The Rainmaker,(1997),135 min,Crime -  Drama -  Thriller,7.2,"$40,000,000","45,856,732",79203,72
562.,Bad Lieutenant: Port of Call New Orleans,(2009),122 min,Crime -  Drama,6.6,"$25,000,000","1,697,956",78939,69
563.,Master,(I) (2021),179 min,Action -  Crime -  Thriller,7.3,"₹1,350,000,000",,78849,
564.,Walking Tall,(2004),86 min,Action -  Crime,6.2,"$46,000,000","46,437,717",78826,44
565.,Shaft,(2000),99 min,Action -  Crime -  Thriller,6.0,"$46,000,000","70,334,258",78665,50
566.,Gridiron Gang,(2006),125 min,Biography -  Crime -  Drama,7.1,"$30,000,000","38,432,823",78608,52
567.,The Woman in the Window,(2020),100 min,Crime -  Drama -  Mystery,5.7,"$40,000,000",,78499,41
568.,Funny Games,(1997),108 min,Crime -  Drama -  Thriller,7.5,,,78425,69
569.,A Most Wanted Man,(2014),122 min,Crime -  Drama -  Thriller,6.7,"$15,000,000","17,237,244",77996,73
570.,Into the Blue,(2005),110 min,Action -  Adventure -  Crime,5.9,"$50,000,000","18,472,363",77902,45
571.,Sooryavanshi,(2021),145 min,Action -  Crime -  Thriller,6.1,,,77851,
572.,Miss Congeniality 2: Armed & Fabulous,(2005),115 min,Action -  Comedy -  Crime,5.1,"$45,000,000","48,478,006",77456,34
573.,Awake,(2007),84 min,Crime -  Drama -  Mystery,6.5,"$8,600,000","14,377,198",77300,33
574.,88 Minutes,(2007),108 min,Crime -  Drama -  Mystery,5.9,"$30,000,000","16,930,884",77234,17
575.,Kiss the Girls,(1997),115 min,Crime -  Drama -  Mystery,6.6,"$27,000,000","60,527,873",77185,46
576.,The Iceman,(2012),106 min,Biography -  Crime -  Drama,6.8,"$10,000,000","1,939,441",76737,60
577.,Manhunter,(1986),120 min,Crime -  Mystery -  Thriller,7.2,"$15,000,000","8,620,929",76426,75
578.,Ong-Bak: The Thai Warrior,(2003),105 min,Action -  Crime -  Thriller,7.1,,"4,560,061",76294,69
579.,Cobra,(1986),87 min,Action -  Crime -  Thriller,5.8,"$25,000,000","49,042,224",76239,25
580.,Mercury Rising,(1998),111 min,Action -  Crime -  Drama,6.1,"$60,000,000","32,940,507",75985,37
581.,The Infiltrator,(2016),127 min,Biography -  Crime -  Drama,7.0,"$28,000,000","15,425,870",75981,66
582.,Blue Ruin,(2013),90 min,Crime -  Drama -  Thriller,7.1,"$420,000","258,113",75842,78
583.,The Black Dahlia,(2006),121 min,Crime -  Drama -  Mystery,5.6,"$50,000,000","22,518,325",75492,49
584.,Strange Days,(1995),145 min,Crime -  Drama -  Sci-Fi,7.2,"$42,000,000","7,919,000",75189,66
585.,Badlands,(1973),94 min,Action -  Crime -  Drama,7.7,"$450,000",,75137,93
586.,Derailed,(I) (2005),108 min,Crime -  Drama -  Thriller,6.6,"$22,000,000","36,024,076",74940,40
587.,Mortdecai,(2015),107 min,Action -  Adventure -  Comedy,5.5,"$60,000,000","7,605,668",74737,27
588.,A Most Violent Year,(2014),125 min,Action -  Crime -  Drama,7.0,"$20,000,000","5,740,310",74672,79
589.,Dirty Rotten Scoundrels,(1988),110 min,Comedy -  Crime,7.4,,"42,039,085",74530,68
590.,Triple 9,(2016),115 min,Action -  Crime -  Thriller,6.3,"$20,000,000","12,626,905",74328,52
591.,Redemption,(I) (2013),100 min,Action -  Crime -  Drama,6.2,"$20,000,000","34,956",74284,43
592.,Death Wish,(2018),107 min,Action -  Crime -  Drama,6.3,"$30,000,000","34,017,028",73972,31
593.,In the Valley of Elah,(2007),121 min,Crime -  Drama -  Mystery,7.2,,"6,777,741",73959,65
594.,Nikita,(1990),117 min,Action -  Crime -  Drama,7.3,"FRF 50,000,000","5,017,971",73904,56
595.,Minions: The Rise of Gru,(2022),87 min,Animation -  Adventure -  Comedy,6.5,"$80,000,000","369,695,210",73900,56
596.,Turner & Hooch,(1989),97 min,Comedy -  Crime -  Drama,6.2,"$13,000,000","71,079,915",73440,36
597.,After Hours,(I) (1985),97 min,Comedy -  Crime -  Drama,7.6,"$4,500,000","10,600,000",73346,90
598.,Red Heat,(1988),104 min,Action -  Comedy -  Crime,6.1,"$29,000,000","34,994,648",73175,61
599.,Death Sentence,(2007),105 min,Action -  Crime -  Drama,6.7,"$20,000,000","9,534,258",73159,36
600.,Go,(1999),102 min,Comedy -  Crime,7.2,"$20,000,000","16,842,303",73052,72
601.,The Girl Who Kicked the Hornet's Nest,(2009),147 min,Crime -  Drama -  Thriller,7.3,"€4,000,000","5,427,684",73008,60
602.,Child 44,(2015),137 min,Crime -  Drama -  History,6.4,"$50,000,000","1,206,135",72999,41
603.,A Simple Plan,(1998),121 min,Crime -  Drama -  Thriller,7.5,"$30,000,000","16,311,763",72972,82
604.,Arsenic and Old Lace,(1944),118 min,Comedy -  Crime -  Thriller,7.9,"$1,164,000",,72563,
605.,Cold Pursuit,(2019),119 min,Action -  Comedy -  Crime,6.2,"$60,000,000","32,138,862",72253,57
606.,xXx: State of the Union,(2005),101 min,Action -  Adventure -  Crime,4.4,"$113,000,000","26,873,932",71978,37
607.,Bullitt,(1968),114 min,Action -  Crime -  Thriller,7.4,"$5,500,000","42,300,873",71955,81
608.,District B13,(2004),84 min,Action -  Crime -  Sci-Fi,7.1,"€12,000,000","1,200,216",71925,70
609.,Romeo Must Die,(2000),115 min,Action -  Crime -  Thriller,6.1,"$25,000,000","55,973,336",71893,52
610.,The Man from Nowhere,(2010),119 min,Action -  Crime -  Drama,7.7,,"6,460",71810,
611.,Hunger,(2008),96 min,Biography -  Crime -  Drama,7.5,"£1,500,000","154,084",71787,82
612.,Sympathy for Mr. Vengeance,(2002),129 min,Crime -  Drama -  Thriller,7.5,"$4,000,000","45,289",71722,56
613.,Hackers,(1995),105 min,Crime -  Drama -  Romance,6.2,"$20,000,000","7,564,000",71549,46
614.,The Gambler,(III) (2014),111 min,Crime -  Drama -  Thriller,6.0,"$25,000,000","33,680,992",71537,55
615.,Just Mercy,(2019),137 min,Biography -  Crime -  Drama,7.6,"$25,000,000",,71314,68
616.,Kick,(2014),146 min,Action -  Comedy -  Crime,6.0,,"2,461,031",71197,
617.,God Bless America,(2011),105 min,Action -  Comedy -  Crime,7.1,,"122,029",70979,56
618.,Be Cool,(2005),118 min,Comedy -  Crime -  Music,5.6,"$53,000,000","56,046,979",70869,37
619.,The Bandit,(1996),128 min,Crime -  Drama -  Thriller,8.1,"TRL 1,200,000",,70809,
620.,The Net,(I) (1995),114 min,Action -  Crime -  Drama,6.0,"$22,000,000","50,727,965",70605,51
621.,Brawl in Cell Block 99,(2017),132 min,Action -  Crime -  Drama,7.1,,,70598,79
622.,True Story,(I) (2015),99 min,Biography -  Crime -  Drama,6.3,,"4,719,695",70295,50
623.,House of Sand and Fog,(2003),126 min,Crime -  Drama,7.5,"$16,500,000","13,005,485",70287,71
624.,21 Bridges,(2019),99 min,Action -  Crime -  Drama,6.6,"$33,000,000","28,539,757",70211,51
625.,Violent Night,(2022),112 min,Action -  Comedy -  Crime,6.7,"$20,000,000",,70091,55
626.,The Client,(1994),119 min,Crime -  Drama -  Mystery,6.7,"$45,000,000","92,115,211",69903,65
627.,Top Secret!,(1984),90 min,Comedy -  Crime -  Music,7.2,"$9,000,000","20,500,000",69771,68
628.,Bandits,(2001),123 min,Comedy -  Crime -  Drama,6.5,"$75,000,000","41,575,141",69506,60
629.,Hera Pheri,(2000),156 min,Action -  Comedy -  Crime,8.1,,,69265,
630.,El Mariachi,(1992),81 min,Action -  Crime -  Thriller,6.8,"$7,000","2,040,920",69124,73
631.,Celda 211,(2009),113 min,Action -  Adventure -  Crime,7.6,"€3,500,000",,69067,
632.,Dead Man Down,(2013),118 min,Action -  Crime -  Drama,6.4,"$30,000,000","10,880,926",69003,39
633.,The Chaser,(2008),125 min,Action -  Crime -  Drama,7.8,"$2,650,000",,68991,64
634.,The Body,(2012),112 min,Crime -  Drama -  Mystery,7.6,,,68865,
635.,DC League of Super-Pets,(2022),105 min,Animation -  Action -  Adventure,7.1,"$90,000,000","93,657,117",68857,56
636.,Elle,(I) (2016),130 min,Crime -  Drama -  Thriller,7.1,"€9,000,000",,68801,89
637.,The Good Nurse,(2022),121 min,Biography -  Crime -  Drama,6.8,,,68592,65
638.,The Snowman,(2017),119 min,Crime -  Drama -  Thriller,5.1,"$35,000,000","6,670,765",68308,23
639.,Domino,(2005),127 min,Action -  Biography -  Crime,5.9,"$50,000,000","10,169,202",68283,36
640.,The Devil's Own,(1997),111 min,Action -  Crime -  Drama,6.2,"$90,000,000","42,868,348",68207,53
641.,Machine Gun Preacher,(2011),129 min,Action -  Biography -  Crime,6.7,"$30,000,000","538,690",67466,43
642.,Soylent Green,(1973),97 min,Crime -  Mystery -  Sci-Fi,7.0,"$4,000,000","7,920,000",67367,66
643.,Mother,(2009),129 min,Crime -  Drama -  Mystery,7.8,"$5,000,000","547,292",67339,79
644.,Diabolique,(1955),117 min,Crime -  Drama -  Horror,8.1,,"1,090,000",67271,
645.,Harsh Times,(2005),116 min,Action -  Crime -  Drama,6.8,"$2,000,000","3,337,931",67089,56
646.,1922,(2017),102 min,Crime -  Drama -  Horror,6.2,,,66946,70
647.,Marathon Man,(1976),125 min,Crime -  Drama -  Thriller,7.4,"$6,500,000","21,709,020",66783,64
648.,Gold,(I) (2016),120 min,Crime -  Drama,6.7,"$20,000,000","7,227,038",66290,49
649.,The Informant!,(2009),108 min,Biography -  Comedy -  Crime,6.5,"$22,000,000","33,313,582",66133,66
650.,Blood Father,(2016),88 min,Action -  Crime -  Drama,6.4,"$13,000,000",,65870,66
651.,Half Baked,(1998),82 min,Comedy -  Crime,6.6,"$8,000,000","17,278,980",65705,16
652.,Red State,(2011),88 min,Action -  Crime -  Horror,6.1,"$4,000,000","1,104,682",65700,50
653.,Solace,(II) (2015),101 min,Crime -  Drama -  Mystery,6.4,,,65648,36
654.,Kate,(I) (2021),106 min,Action -  Adventure -  Crime,6.2,,,65609,47
655.,Heavenly Creatures,(1994),99 min,Biography -  Crime -  Drama,7.3,"$5,000,000","3,049,135",65487,86
656.,Murder on the Orient Express,(1974),128 min,Crime -  Drama -  Mystery,7.2,"£1,500,000","72,034",65224,63
657.,Kiss of the Dragon,(2001),98 min,Action -  Crime -  Thriller,6.6,"$25,000,000","36,845,124",65092,58
658.,Brooklyn's Finest,(2009),132 min,Action -  Crime -  Drama,6.7,"$17,000,000","27,154,426",64994,43
659.,The Frozen Ground,(2013),105 min,Crime -  Drama -  Thriller,6.4,"$27,220,000",,64983,37
660.,Irrational Man,(2015),95 min,Comedy -  Crime -  Drama,6.6,"$11,000,000","4,027,764",64904,53
661.,Robot & Frank,(2012),89 min,Comedy -  Crime -  Drama,7.0,"$2,500,000","3,325,638",64902,67
662.,Punisher: War Zone,(2008),103 min,Action -  Crime -  Drama,5.9,"$35,000,000","7,948,159",64891,30
663.,Sabotage,(2014),109 min,Action -  Crime -  Drama,5.7,"$35,000,000","10,508,518",64798,41
664.,Shazam! Fury of the Gods,(2023),130 min,Action -  Adventure -  Comedy,6.1,"$125,000,000",,64732,47
665.,Runner Runner,(2013),88 min,Crime -  Thriller,5.6,"$30,000,000","19,316,646",64696,36
666.,Guns Akimbo,(2019),98 min,Action -  Comedy -  Crime,6.3,"$15,000,000",,64486,42
667.,Basic,(2003),98 min,Action -  Crime -  Drama,6.4,"$50,000,000","26,536,120",64427,34
668.,Point Break,(2015),114 min,Action -  Adventure -  Crime,5.3,"$105,000,000","28,782,481",64425,34
669.,Takers,(2010),107 min,Action -  Crime -  Drama,6.2,"$32,000,000","57,744,720",64150,45
670.,Showtime,(2002),95 min,Action -  Comedy -  Crime,5.5,"$85,000,000","38,082,712",64094,32
671.,Observe and Report,(2009),86 min,Comedy -  Crime -  Drama,5.7,"$18,000,000","23,993,605",64084,54
672.,Magnum Force,(1973),124 min,Action -  Crime -  Mystery,7.2,,"4,564,304",64003,58
673.,Shallow Grave,(1994),89 min,Crime -  Thriller,7.3,"$2,500,000","2,881,508",63727,67
674.,Hoodwinked,(2005),80 min,Animation -  Adventure -  Comedy,6.5,"$30,000,000","51,386,611",63719,45
675.,Dick Tracy,(1990),105 min,Action -  Comedy -  Crime,6.2,"$47,000,000","103,738,726",63651,68
676.,The Crimson Rivers,(2000),106 min,Crime -  Mystery -  Thriller,6.9,"$14,000,000","632,548",63621,49
677.,Vikram,(2022),175 min,Action -  Crime -  Thriller,8.3,"₹1,500,000,000",,63508,
678.,Sexy Beast,(2000),89 min,Crime -  Drama -  Thriller,7.3,,"6,946,056",63483,79
679.,The Player,(1992),124 min,Comedy -  Crime -  Drama,7.5,"$8,000,000","21,706,100",62883,86
680.,Out of Time,(I) (2003),105 min,Crime -  Drama -  Mystery,6.5,"$50,000,000","41,088,845",62829,63
681.,Appaloosa,(2008),115 min,Action -  Crime -  Drama,6.7,"$20,000,000","20,207,003",62718,64
682.,The White Tiger,(2021),125 min,Crime -  Drama,7.1,,,62591,76
683.,The Pledge,(I) (2001),124 min,Crime -  Drama -  Mystery,6.8,"$35,000,000","19,719,930",62586,71
684.,Mindhunters,(2004),106 min,Crime -  Horror -  Thriller,6.3,"$27,000,000","4,480,744",62552,33
685.,The Hustle,(I) (2019),93 min,Comedy -  Crime,5.4,"$21,000,000","35,417,038",62533,35
686.,Don't Breathe 2,(2021),98 min,Action -  Crime -  Horror,6.0,,"32,638,038",62442,46
687.,Straw Dogs,(1971),113 min,Crime -  Drama -  Thriller,7.4,"$3,251,794",,62222,73
688.,Pride and Glory,(2008),130 min,Crime -  Drama -  Thriller,6.6,"$30,000,000","15,709,385",62104,45
689.,The Brave One,(2007),122 min,Action -  Crime -  Drama,6.7,"$70,000,000","36,793,804",62066,56
690.,The Spirit,(2008),103 min,Action -  Crime -  Fantasy,4.7,"$60,000,000","19,781,879",62009,30
691.,Blackhat,(2015),133 min,Action -  Crime -  Thriller,5.4,"$70,000,000","7,097,125",61908,51
692.,Calvary,(2014),102 min,Crime -  Drama -  Mystery,7.4,,"3,593,460",61750,77
693.,Bad Education,(2004),106 min,Crime -  Drama,7.4,"$5,000,000","5,211,842",61661,81
694.,Bernie,(2011),104 min,Biography -  Comedy -  Crime,6.8,"$5,000,000","9,203,192",61587,75
695.,The General's Daughter,(1999),116 min,Crime -  Drama -  Mystery,6.4,"$95,000,000","102,705,852",61525,47
696.,Menace II Society,(1993),97 min,Crime -  Drama -  Thriller,7.5,"$3,500,000","27,900,000",61498,76
697.,The Guilty,(2018),85 min,Crime -  Drama -  Thriller,7.5,,"207,140",61395,83
698.,Timecop,(1994),99 min,Action -  Crime -  Sci-Fi,5.9,"$27,000,000","44,853,581",61387,48
699.,Drillbit Taylor,(2008),110 min,Action -  Comedy -  Crime,5.7,"$40,000,000","32,853,640",61372,41
700.,Spiderhead,(2022),106 min,Action -  Crime -  Drama,5.4,,,61284,54
701.,I Don't Feel at Home in This World Anymore,(2017),93 min,Comedy -  Crime -  Drama,6.9,,,60860,75
702.,Ride Along 2,(2016),102 min,Action -  Comedy -  Crime,5.9,"$40,000,000","91,221,830",60824,32
703.,Breach,(2007),110 min,Biography -  Crime -  Drama,7.0,,"33,231,264",60544,74
704.,Victoria,(II) (2015),138 min,Crime -  Drama -  Romance,7.6,,,60498,77
705.,Sneakers,(1992),126 min,Comedy -  Crime -  Drama,7.1,"$23,000,000","51,433,000",60453,65
706.,Motherless Brooklyn,(2019),144 min,Crime -  Drama -  Mystery,6.8,"$26,000,000",,60059,60
707.,Murder by Numbers,(2002),115 min,Crime -  Mystery -  Thriller,6.1,"$50,000,000","31,945,749",59869,50
708.,Fanboys,(2009),90 min,Adventure -  Comedy -  Crime,6.5,"$3,900,000","688,529",59803,45
